,country,em_z_score,percent_excess
0,AUS,0,0.0
1,AUT,28,0.2692307692307692
2,BEL,38,0.36538461538461536
3,BGR,64,0.6153846153846154
4,CAN,8,0.07692307692307693
5,CHE,28,0.2692307692307692
6,CHL,49,0.47115384615384615
7,CZE,41,0.3942307692307692
8,DEU,32,0.3076923076923077
9,DNK,34,0.3269230769230769
10,ESP,44,0.4230769230769231
11,EST,92,0.8846153846153846
12,FIN,26,0.25
13,FRA,36,0.34615384615384615
14,GBR,42,0.40384615384615385
15,GRC,46,0.4423076923076923
16,HRV,47,0.4519230769230769
17,HUN,48,0.46153846153846156
18,ISL,0,0.0
19,ISR,19,0.18269230769230768
20,ITA,36,0.34615384615384615
21,KOR,0,0.0
22,LTU,52,0.5
23,LUX,26,0.25
24,LVA,66,0.6346153846153846
25,NLD,57,0.5480769230769231
26,NOR,13,0.125
27,NZL,0,0.0
28,POL,59,0.5673076923076923
29,PRT,70,0.6730769230769231
30,RUS,33,0.3173076923076923
31,SVK,45,0.4326923076923077
32,SVN,43,0.41346153846153844
33,SWE,22,0.21153846153846154
34,TWN,0,0.0
35,USA,70,0.6730769230769231
